Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,35.950001,42.049999,35.290001,39.080002,27.589390,2917900
2010-04-01,39.080002,46.689999,37.380001,45.060001,31.811104,2618900
2010-05-01,45.099998,47.259998,40.750000,43.009998,30.363859,1882400
2010-06-01,42.630001,43.400002,36.150002,40.919998,29.132565,2278700
2010-07-01,40.840000,45.910000,38.599998,44.970001,32.015919,1123800
2010-08-01,45.320000,46.349998,40.000000,40.860001,29.089853,1134800
2010-09-01,41.110001,43.189999,40.080002,42.570000,30.559292,1184800
2010-10-01,42.639999,46.919998,41.279999,45.669998,32.784664,845000
2010-11-01,45.720001,49.490002,45.509998,46.689999,33.516891,1420800
2010-12-01,47.279999,49.000000,45.349998,46.840000,33.880760,1187300
2011-01-01,47.189999,52.660000,43.320000,51.900002,37.540798,1753400
2011-02-01,52.009998,56.580002,51.470001,54.009998,39.067024,1653500
2011-03-01,54.180000,64.389999,52.810001,64.279999,46.795467,1839700
2011-04-01,64.349998,66.000000,55.580002,58.750000,42.769665,2593300
2011-05-01,59.000000,63.810001,58.020000,62.750000,45.681644,1739700
2011-06-01,62.889999,63.950001,51.680000,63.480000,46.496170,1900100
2011-07-01,63.700001,79.059998,60.139999,73.449997,53.798725,1834100
2011-08-01,75.830002,77.680000,56.779999,70.820000,51.872375,2925300
2011-09-01,71.089996,74.120003,64.099998,66.150002,48.750542,1747900
2011-10-01,65.830002,74.620003,50.290001,51.070000,37.637039,3059200
2011-11-01,50.000000,53.000000,41.799999,45.400002,33.458424,3996300
2011-12-01,45.139999,52.150002,45.000000,51.110001,37.927391,2282400
2012-01-01,52.240002,59.630001,50.580002,57.250000,42.483711,2570000
2012-02-01,57.450001,64.000000,57.400002,60.840000,45.147762,1540200
2012-03-01,60.869999,62.590000,55.759998,56.520000,42.256748,2413300
2012-04-01,56.639999,61.900002,54.259998,59.590000,44.551994,2037000
2012-05-01,59.549999,60.930000,53.540001,54.400002,40.671745,1941400
2012-06-01,53.570000,57.790001,51.639999,57.220001,43.125751,1469200
2012-07-01,57.400002,59.169998,45.990002,49.500000,37.307323,1791000
2012-08-01,49.849998,51.680000,44.950001,50.549999,38.098694,2306300
2012-09-01,50.080002,55.849998,50.029999,55.549999,42.256413,1384100
2012-10-01,55.860001,56.029999,47.840000,48.810001,37.129341,1789200
2012-11-01,49.349998,51.630001,46.759998,50.070000,38.087822,1417400
2012-12-01,50.910000,53.549999,49.150002,50.340000,39.416348,1793700
2013-01-01,51.230000,54.500000,50.200001,52.610001,41.193775,1760000
2013-02-01,48.900002,52.779999,46.080002,52.139999,40.825768,3105000
2013-03-01,52.000000,54.500000,52.000000,54.110001,42.832970,1596700
2013-04-01,54.220001,56.310001,51.389999,52.459999,41.526825,1996300
2013-05-01,52.130001,52.630001,48.520000,50.080002,39.642853,2350600
2013-06-01,50.200001,51.740002,48.020000,49.139999,39.297207,1560200
2013-07-01,49.320000,55.910000,47.230000,55.740002,44.575207,1784200
2013-08-01,55.880001,58.459999,54.110001,54.959999,43.951443,1113000
2013-09-01,55.549999,59.529999,54.570000,58.500000,47.201908,1076600
2013-10-01,58.759998,61.889999,56.160000,57.040001,46.023891,1287500
2013-11-01,55.360001,62.840000,55.360001,61.520000,49.638657,1464900
2013-12-01,61.410000,62.869999,58.730000,61.810001,50.287926,1673200
2014-01-01,61.340000,69.500000,56.599998,66.820000,54.364006,2910900
2014-02-01,66.889999,71.519997,63.080002,68.430000,55.673882,2791200
2014-03-01,68.059998,71.889999,63.119999,64.599998,53.019367,2620700
2014-04-01,64.540001,65.830002,59.209999,63.130001,51.812885,2558400
2014-05-01,63.240002,66.389999,59.700001,63.580002,52.182217,2697000
2014-06-01,63.580002,67.419998,60.840000,63.599998,52.654339,2047700
2014-07-01,63.730000,66.709999,61.660000,65.820000,54.492287,1313400
2014-08-01,64.410004,65.250000,60.259998,61.439999,50.866085,1815400
2014-09-01,61.590000,62.689999,57.220001,57.490002,48.026917,1351400
2014-10-01,57.330002,64.860001,57.130001,62.980000,52.613247,1933900
2014-11-01,63.119999,63.490002,58.000000,58.740002,49.071167,1372100
2014-12-01,58.500000,62.279999,58.009998,60.750000,51.222450,1614700
2015-01-01,61.000000,62.980000,47.400002,49.259998,41.534443,2962000
2015-02-01,51.740002,53.610001,47.520000,52.599998,44.350624,3110000
2015-03-01,52.700001,54.480000,51.700001,54.259998,46.318054,2824500
2015-04-01,54.189999,54.610001,52.200001,52.330002,44.670551,1898700
2015-05-01,52.790001,57.490002,51.779999,52.330002,44.670551,1839100
2015-06-01,52.529999,55.509998,52.020000,53.419998,46.142670,1613200
2015-07-01,53.799999,56.860001,45.009998,46.770000,40.398598,2313200
2015-08-01,45.439999,46.990002,43.240002,46.020000,39.750759,2392500
2015-09-01,45.369999,46.599998,41.639999,42.130001,36.904026,2128300
2015-10-01,42.099998,45.000000,36.040001,38.009998,33.295090,2578100
2015-11-01,37.880001,54.990002,37.680000,48.720001,42.676579,3080700
2015-12-01,50.650002,51.330002,45.450001,49.750000,44.269691,2586600
2016-01-01,48.930000,57.750000,47.139999,52.529999,46.743446,2992400
2016-02-01,52.630001,59.160000,52.630001,56.660000,50.418499,5206400
2016-03-01,56.820000,57.320000,50.389999,52.119999,46.903210,3246100
2016-04-01,52.040001,54.090000,50.500000,51.330002,46.192280,2609200
2016-05-01,51.599998,52.209999,40.580002,41.349998,37.211216,5845000
2016-06-01,41.580002,42.119999,37.099998,39.919998,36.439842,4173400
2016-07-01,40.060001,42.020000,39.130001,39.639999,36.184242,1936000
2016-08-01,39.639999,40.279999,25.049999,25.820000,23.569056,8722600
2016-09-01,25.520000,26.809999,24.180000,26.059999,24.072222,4736700
2016-10-01,26.059999,26.709999,25.500000,26.100000,24.109171,3161200
2016-11-01,26.049999,26.250000,18.250000,24.049999,22.215540,6219500
2016-12-01,24.049999,26.049999,22.379999,23.600000,22.009474,4717000
2017-01-01,23.799999,24.549999,21.700001,22.600000,21.076872,3452100
2017-02-01,22.700001,27.600000,21.600000,26.900000,25.087072,3289800
2017-03-01,27.049999,29.000000,25.950001,28.000000,26.362581,2327600
2017-04-01,27.950001,29.299999,26.049999,27.450001,25.844748,1646300
2017-05-01,27.500000,34.200001,26.350000,33.400002,31.446800,3166800
2017-06-01,33.299999,36.150002,31.450001,32.799999,31.069616,1773900
2017-07-01,32.799999,32.849998,29.900000,30.650000,29.033039,1106700
2017-08-01,30.850000,32.549999,28.299999,30.100000,28.512058,2067100
2017-09-01,30.049999,30.450001,27.600000,29.549999,28.278652,1571600
2017-10-01,29.549999,31.700001,29.309999,30.150000,28.852839,2178900
2017-11-01,30.200001,30.549999,27.750000,30.299999,28.996384,2093900
2017-12-01,30.150000,30.549999,28.549999,30.049999,28.856993,1545000
2018-01-01,30.000000,30.850000,29.350000,29.950001,28.760960,1219000
2018-02-01,29.750000,32.400002,28.250000,29.799999,28.616917,1884300
2018-03-01,29.850000,30.799999,28.980000,29.200001,28.131927,1791400
2018-04-01,29.299999,30.799999,28.549999,29.850000,28.758150,1646200
2018-05-01,29.650000,33.799999,29.350000,32.549999,31.359390,2515500
2018-06-01,32.849998,34.250000,32.150002,32.900002,31.797535,2335200
2018-07-01,32.750000,34.650002,30.650000,31.200001,30.154501,2712600
2018-08-01,31.100000,31.350000,25.150000,27.299999,26.385187,4056100
2018-09-01,27.299999,27.500000,25.900000,26.850000,26.044458,2229500
2018-10-01,26.820000,27.959999,24.799999,25.000000,24.249962,2689800
2018-11-01,25.090000,28.780001,24.570000,26.680000,25.879559,4066200
2018-12-01,26.850000,27.330000,23.809999,25.100000,24.441442,2451300
2019-01-01,24.799999,27.799999,24.750000,26.240000,25.551529,2032300
2019-02-01,26.250000,34.000000,25.260000,32.939999,32.075733,3571300
2019-03-01,33.029999,33.430000,28.959999,29.690001,28.998116,2746700
2019-04-01,29.670000,31.000000,28.790001,30.389999,29.681805,2454000
2019-05-01,30.480000,30.809999,25.790001,25.809999,25.208532,3240500
2019-06-01,25.920000,27.889999,24.990000,27.790001,27.241636,2732700
2019-07-01,27.910000,28.440001,25.510000,25.809999,25.300705,2099200
2019-08-01,25.820000,26.490000,20.719999,21.150000,20.732656,2816300
2019-09-01,21.070000,24.370001,20.920000,22.610001,22.265846,2697100
2019-10-01,22.670000,23.549999,20.959999,23.070000,22.718845,1818400
2019-11-01,23.170000,28.350000,22.790001,26.590000,26.185265,2633500
2019-12-01,26.600000,27.750000,25.700001,26.400000,26.099081,1912700
2020-01-01,26.570000,28.250000,25.510000,26.000000,25.703640,1412500
2020-02-01,26.100000,35.779999,25.740000,26.780001,26.474751,2569300
2020-03-01,27.040001,27.299999,16.930000,22.250000,22.067339,2819700
2020-04-01,21.920000,24.969999,19.040001,24.030001,23.832727,2060800
2020-05-01,23.570000,24.860001,19.570000,22.120001,21.938408,2267400
2020-06-01,22.240000,24.879999,21.150000,22.790001,22.713112,2160600
2020-07-01,22.719999,26.299999,21.559999,24.680000,24.596735,1469100
2020-08-01,24.809999,31.440001,24.770000,27.360001,27.267693,1613100
2020-09-01,27.160000,31.450001,24.570000,27.610001,27.610001,1923200
2020-10-01,27.650000,29.590000,26.959999,27.889999,27.889999,1223500
2020-11-01,28.170000,30.500000,26.840000,28.430000,28.430000,1983000
2020-12-01,28.639999,29.370001,26.520000,26.840000,26.840000,2171000
2021-01-01,27.040001,31.690001,26.219999,30.780001,30.780001,1422700
2021-02-01,30.780001,36.369999,28.639999,31.450001,31.450001,2351400
2021-03-01,31.750000,33.639999,29.580000,30.600000,30.600000,1731500
2021-04-01,30.559999,31.690001,28.559999,30.020000,30.020000,1441100
2021-05-01,30.200001,33.560001,28.389999,32.369999,32.369999,1407100
2021-06-01,32.320000,34.549999,32.209999,33.230000,33.230000,1372300
2021-07-01,33.369999,33.470001,30.440001,31.570000,31.570000,1124700
2021-08-01,31.639999,36.570000,31.080000,35.570000,35.570000,1861300
2021-09-01,35.660000,37.270000,34.110001,35.459999,35.459999,2712000
2021-10-01,35.740002,36.980000,34.700001,36.099998,36.099998,1691800
2021-11-01,36.419998,37.619999,28.559999,29.469999,29.469999,3365300
2021-12-01,30.209999,30.830000,27.950001,29.299999,29.299999,2170800
2022-01-01,29.260000,29.760000,27.059999,28.320000,28.320000,1596500
2022-02-01,28.320000,30.959999,26.110001,30.780001,30.780001,2076000
2022-03-01,30.980000,35.270000,30.709999,34.450001,34.450001,2526500
2022-04-01,34.540001,35.500000,31.790001,31.920000,31.920000,1285400
2022-05-01,31.980000,33.169998,30.360001,31.889999,31.889999,2062100
2022-06-01,32.150002,33.389999,29.430000,31.969999,31.969999,1649100
2022-07-01,31.799999,33.959999,31.280001,33.759998,33.759998,1042100
