Metric, 	Min, 	Max, 	Median
r2: -964.0586477479447,	 1.0,	-3.759171576211347
mse: 0.0,	23044.64997919166,	8.091605610211797
mae: 0.0,	148.29709549784977,	2.577101473228793

AABEX.csv	mse 1.3997739602251449,	r2 -103.71591458172922,	mae: 1.1445556096568639
AABFX.csv	mse 3.772852382698234,	r2 -2.3132827263081137,	mae: 1.7542189654493388
AABRX.csv	mse 1.3913064208122632,	r2 -86.04547321220751,	mae: 1.1405593413243031
AADJX.csv	mse 2.091824203486215,	r2 -39.632437156435685,	mae: 1.379310749155182
AAEMX.csv	mse 11.569109236164833,	r2 -1.248943865286452,	mae: 3.149620623702088
AANTX.csv	mse 28.57062583768554,	r2 -36.40436679877106,	mae: 5.053469197339008
AAZYX.csv	mse 0.4366894767626916,	r2 -13.409282398230266,	mae: 0.6530738466683795
ABQZX.csv	mse 4.851481307545014,	r2 -9.23600907640736,	mae: 2.040005047603232
ACFOX.csv	mse 205.46349197214312,	r2 -1.7948469100539635,	mae: 13.471549418747715
ACITX.csv	mse 1.0794361148697067,	r2 -0.08456734339739458,	mae: 0.9581140446175423
ACUIX.csv	mse 136.25196644967824,	r2 -24.814883086543812,	mae: 11.418740492640334
ADGZX.csv	mse 31.40885829773195,	r2 -5.909215406378466,	mae: 5.157604047101393
AEYCX.csv	mse 21.15256976907848,	r2 0.34682340033479553,	mae: 3.817596675035895
AFAZX.csv	mse 4.189172524207677,	r2 0.462495238217166,	mae: 1.6830068798260296
AFPUX.csv	mse 1.2873970175305385,	r2 -3.8325997314850566,	mae: 1.1211474214050154
AGAMX.csv	mse 1.6583877376227347,	r2 -0.34514527641424175,	mae: 1.0613850816511414
AGDCX.csv	mse 0.4121982643136103,	r2 0.04194606140660362,	mae: 0.5727724797332466
AGDRX.csv	mse 0.4098563855755309,	r2 0.027772710914192422,	mae: 0.5706668915263546
AGVYX.csv	mse 0.11738377892206223,	r2 0.4980754980095704,	mae: 0.3014467381916169
AHYMX.csv	mse 0.3995349426305053,	r2 -0.9591561361901195,	mae: 0.5687579320834781
AHYRX.csv	mse 0.10562347514350488,	r2 0.3438038642968082,	mae: 0.28485683510455506
AICAX.csv	mse 0.3245905957482916,	r2 -0.3182477078288377,	mae: 0.5145586891911491
AIDYX.csv	mse 2.6254187356487435,	r2 -44.1638323037406,	mae: 1.5742550571293903
AIHAX.csv	mse 4.021992233124989,	r2 -49.689475424284524,	mae: 1.9511757700901948
ALARX.csv	mse 157.87139268440762,	r2 -1.4162221098762116,	mae: 11.13216931424407
ALMZX.csv	mse 327.967164450086,	r2 -308.28249610243336,	mae: 18.034015885578405
ALNFX.csv	mse 16.615703966013793,	r2 -0.4653432252703522,	mae: 3.6390677306113948
ALOYX.csv	mse 23.41993809472216,	r2 -162.59834725307013,	mae: 4.619613542255278
ALSCX.csv	mse 7.214334838582074,	r2 -0.2438909699179168,	mae: 2.4984795207154313
ALVAX.csv	mse 56.9876804198328,	r2 -11.358322185508895,	mae: 7.321391546792987
ALVGX.csv	mse 6.39670037372024,	r2 -84.67890960839557,	mae: 2.4843081070535455
AMBFX.csv	mse 10.935798629639013,	r2 -2.8297922367698574,	mae: 2.9177622226898117
AMCGX.csv	mse 46.817624924654105,	r2 -1.2314868995611032,	mae: 6.353798731339333
AMCZX.csv	mse 263.46607290068704,	r2 -259.47457263878033,	mae: 15.989963365211471
ANDRX.csv	mse 7.148640666703776,	r2 -10.009274937012615,	mae: 2.471882074673191
ANOCX.csv	mse 25.711911875100654,	r2 -0.7168330569034278,	mae: 4.863970534764988
ANTMX.csv	mse 40.81267434031377,	r2 -71.82946500384163,	mae: 6.245072574254628
APHTX.csv	mse 77.6383649523305,	r2 -161.5610016911356,	mae: 8.143722584929883
ARDSX.csv	mse 2.031666541405938,	r2 -0.014663379665771359,	mae: 1.0710680074331436
AREMX.csv	mse 3.414203175242978,	r2 -0.1410595908084431,	mae: 1.489291008549632
ARGFX.csv	mse 1040.7219125539884,	r2 -12.947024394435049,	mae: 31.829456474452797
ARSLX.csv	mse 48.201593306996244,	r2 -46.80214589338933,	mae: 6.834898708133032
ARSPX.csv	mse 132.66390774696887,	r2 -0.1642173573961887,	mae: 8.999913498325382
ARSZX.csv	mse 7.952213873460031,	r2 -56.611008053749146,	mae: 2.6704718235299456
ASHIX.csv	mse 0.2438236095084598,	r2 0.4088093607745822,	mae: 0.41184989177015746
ASIEX.csv	mse 4.1072811477156685,	r2 -15.760895264769001,	mae: 1.8872333511957875
ASMDX.csv	mse 1.1255899088392687,	r2 -2.5601979610512515,	mae: 0.9774853341038495
ASQAX.csv	mse 17.601383558215485,	r2 -1.7839834507660761,	mae: 3.7510109385859125
ASTCX.csv	mse 1.4442674259462918,	r2 -2.157683118590275,	mae: 1.1392953554512522
ASVRX.csv	mse 24.93513495955497,	r2 -30.749120019468926,	mae: 4.946878320046385
ATOAX.csv	mse 0.00050498139262538,	r2 -1.4506449936232717,	mae: 0.018857645894747546
ATTCX.csv	mse 0.9399845105874468,	r2 0.2539049665199007,	mae: 0.7565408758185448
AUIZX.csv	mse 20.107322765156397,	r2 -3.317211117852179,	mae: 4.078129258384728
AUUKX.csv	mse 7.070757334031155,	r2 -0.19346004278414042,	mae: 1.84781785738149
AWTCX.csv	mse 8.768082270615592,	r2 -0.9880163214908362,	mae: 2.162483200865744
AZNIX.csv	mse 2.629779702882542,	r2 -0.429279742230819,	mae: 1.229738387350776
BACIX.csv	mse 60.362100469055356,	r2 -11.90376474811289,	mae: 6.9333405543576765
BAGSX.csv	mse 2.940040888135861,	r2 -2.9332467257551107,	mae: 1.36161637244674
BARAX.csv	mse 485.45963890262834,	r2 -1.268117041452609,	mae: 20.85527755441243
BBGSX.csv	mse 78.01938426691497,	r2 -99.15552724675224,	mae: 8.662272810209917
BBSGX.csv	mse 0.122476915938232,	r2 -0.8534827690887574,	mae: 0.30072009938515176
BCHYX.csv	mse 0.8414986810014765,	r2 -0.41233050979440256,	mae: 0.7911155891817117
