Metric, 	Min, 	Max, 	Median
r2: -581.3238879850863,	 1.0,	-1.256240603980118
mse: 0.0,	10448.646726723002,	4.531290023276075
mae: 0.0,	99.98284510771194,	1.9263264420981434

AABEX.csv	mse 0.5430676498958863,	r2 -39.626434877707844,	mae: 0.7140827084825959
AABFX.csv	mse 1.4751084869799145,	r2 -0.2954261056579386,	mae: 0.981712948708696
AABRX.csv	mse 0.6852014768991957,	r2 -41.86883601642059,	mae: 0.8009409943663284
AADJX.csv	mse 1.294255381411202,	r2 -24.140138622512083,	mae: 1.0802065111382813
AAEMX.csv	mse 5.873385307047576,	r2 -0.14173992008454683,	mae: 2.170712507811086
AANTX.csv	mse 8.82162351785795,	r2 -10.549177945811282,	mae: 2.742230826960439
AAZYX.csv	mse 0.20216441072550148,	r2 -5.670744865689965,	mae: 0.4423157228503154
ABQZX.csv	mse 2.8399290930583403,	r2 -4.991889513763478,	mae: 1.5359727726566903
ACFOX.csv	mse 215.20953277120245,	r2 -1.9274188416952494,	mae: 10.945572446993879
ACITX.csv	mse 1.063400427127446,	r2 -0.06845542809773542,	mae: 0.9215963268603178
ACUIX.csv	mse 9.13106884847297,	r2 -0.7300115434705976,	mae: 2.4752729387821377
ADGZX.csv	mse 9.737503842493856,	r2 -1.1420234677261822,	mae: 2.8612918427284253
AEYCX.csv	mse 98.68928404704974,	r2 -2.0474562514611083,	mae: 8.412944538395697
AFAZX.csv	mse 32.98672926041998,	r2 -3.2324645143303945,	mae: 4.875458005859122
AFPUX.csv	mse 0.44386216380476345,	r2 -0.6661590359544187,	mae: 0.6333355388406661
AGAMX.csv	mse 1.8080339645688481,	r2 -0.4665257658758508,	mae: 1.1861741386338438
AGDCX.csv	mse 0.6767148138912786,	r2 -0.5728578911719344,	mae: 0.6450278700893584
AGDRX.csv	mse 0.6529328866524129,	r2 -0.5488331832469682,	mae: 0.6356628809503588
AGVYX.csv	mse 0.6067705999787386,	r2 -1.5945069584015745,	mae: 0.6670280739597634
AHYMX.csv	mse 0.7063374170918518,	r2 -2.463590132580618,	mae: 0.7390198869461436
AHYRX.csv	mse 0.1292782329192422,	r2 0.19684637570495167,	mae: 0.34279228264844036
AICAX.csv	mse 0.24619187973287202,	r2 0.0001500801471092661,	mae: 0.461643748270105
AIDYX.csv	mse 0.986380740131675,	r2 -15.968239667848056,	mae: 0.9600237571578217
AIHAX.csv	mse 1.578562702893658,	r2 -18.8947463585352,	mae: 1.2259602983768456
ALARX.csv	mse 113.29494654054615,	r2 -0.7339794760393463,	mae: 9.803826753409774
ALMZX.csv	mse 617.5037926193057,	r2 -581.3238879850863,	mae: 24.831750673159007
ALNFX.csv	mse 19.672863534115105,	r2 -0.7349549173690302,	mae: 3.7995174108995773
ALOYX.csv	mse 15.312609351581434,	r2 -105.96516668484166,	mae: 3.7311187524235914
ALSCX.csv	mse 6.594192987373111,	r2 -0.13696651103895796,	mae: 2.1355283272980423
ALVAX.csv	mse 20.99202621170063,	r2 -3.552321156776875,	mae: 3.880448080474763
ALVGX.csv	mse 2.5545417140500617,	r2 -33.21613266554783,	mae: 1.570492915247923
AMBFX.csv	mse 5.815211736170866,	r2 -1.0365273279629972,	mae: 2.217088447042622
AMCGX.csv	mse 37.41491651494665,	r2 -0.7833219046383022,	mae: 5.848282952023979
AMCZX.csv	mse 131.40823793799817,	r2 -128.91617570060944,	mae: 11.352629766481042
ANDRX.csv	mse 2.7117900821699603,	r2 -3.1762964426409104,	mae: 1.4568144907051597
ANOCX.csv	mse 29.177196408958782,	r2 -0.9482166688340958,	mae: 5.115088969558768
ANTMX.csv	mse 20.11388748771146,	r2 -34.89286143472625,	mae: 4.390377256231842
APHTX.csv	mse 4.017212768030471,	r2 -7.411332876193578,	mae: 1.8815278608346455
ARDSX.csv	mse 4.9637167517938945,	r2 -1.4790001274488072,	mae: 1.899597258738715
AREMX.csv	mse 5.210271389677382,	r2 -0.7413228899252919,	mae: 2.1284398206072246
ARGFX.csv	mse 100.60635690466219,	r2 -0.3482557607931338,	mae: 8.737281945944792
ARSLX.csv	mse 15.92291068309564,	r2 -14.790957254731826,	mae: 3.922581485335555
ARSPX.csv	mse 291.81237165953655,	r2 -1.5608549752428225,	mae: 15.066271677570482
ARSZX.csv	mse 0.494226925955253,	r2 -2.5805012119472983,	mae: 0.5820885733526858
ASHIX.csv	mse 0.3074889415909336,	r2 0.25444224084631184,	mae: 0.5112021748695121
ASIEX.csv	mse 1.659460173875671,	r2 -5.771885627029625,	mae: 1.1761889652157689
ASMDX.csv	mse 0.31038682476925056,	r2 0.018258308818532076,	mae: 0.4934318535272449
ASQAX.csv	mse 10.755280017390833,	r2 -0.701145905816899,	mae: 3.102304594103774
ASTCX.csv	mse 0.5085002832006319,	r2 -0.11176277413371505,	mae: 0.6571904378722364
