Metric, 	Min, 	Max, 	Median
r2: -5.483481063658406,	 1.0,	0.7300460590193045
mse: 0.0,	260.84940324638364,	0.34144508928571426
mae: 0.0,	14.174735526315786,	0.4794270833333334

AABEX.csv	mse 0.021383333333333174,	r2 -0.3717034925160376,	mae: 0.1083333333333331
AABFX.csv	mse 0.13815312500000002,	r2 0.8817819382628574,	mae: 0.31031250000000005
AABRX.csv	mse 0.025533333333333352,	r2 -0.3758419398293682,	mae: 0.1200000000000001
AADJX.csv	mse 0.06896666666666655,	r2 -0.2603045685279195,	mae: 0.21000000000000027
AAEMX.csv	mse 0.3139733333333341,	r2 0.9372013979542717,	mae: 0.4680000000000006
AANTX.csv	mse 0.5712200000000008,	r2 0.02518857298883881,	mae: 0.6530000000000007
AAZYX.csv	mse 0.018266666666666594,	r2 0.3756171667299675,	mae: 0.09333333333333312
ABQZX.csv	mse 0.06072727272727276,	r2 0.8408587735318338,	mae: 0.20818181818181827
ACFOX.csv	mse 10.875786188126684,	r2 0.8532049966652628,	mae: 2.806562625
ACITX.csv	mse 0.08792500000000016,	r2 0.9123888856398953,	mae: 0.23625000000000024
ACUIX.csv	mse 2.1357547056281536,	r2 0.5941965566350671,	mae: 1.2646879062499994
ADGZX.csv	mse 1.5504089634796077,	r2 0.5146959854643767,	mae: 1.0356521304347828
AEYCX.csv	mse 3.389310898126652,	r2 0.8974117967140642,	mae: 1.3684376562499998
AFAZX.csv	mse 1.5626151343753756,	r2 0.8025844966788495,	mae: 0.6665623125000004
AFPUX.csv	mse 0.0394645161290323,	r2 0.8547291344590732,	mae: 0.1690322580645162
AGAMX.csv	mse 0.17054375,	r2 0.8643129325570706,	mae: 0.35125000000000006
AGDCX.csv	mse 0.02864687500000001,	r2 0.9323446010071831,	mae: 0.12281250000000002
AGDRX.csv	mse 0.028031249999999994,	r2 0.9324339433752946,	mae: 0.12249999999999997
AGVYX.csv	mse 0.009284374999999994,	r2 0.9600883939306417,	mae: 0.07031249999999986
AHYMX.csv	mse 0.01769583333333321,	r2 0.9040651462486983,	mae: 0.10874999999999968
AHYRX.csv	mse 0.01350624999999999,	r2 0.9152430609178244,	mae: 0.08312499999999992
AICAX.csv	mse 0.027249999999999924,	r2 0.8855941445718721,	mae: 0.1262499999999997
AIDYX.csv	mse 0.0423736842105262,	r2 -0.1988166144200605,	mae: 0.1721052631578947
AIHAX.csv	mse 0.045199999999999914,	r2 0.14277686724420624,	mae: 0.17444444444444424
ALARX.csv	mse 6.027986695627281,	r2 0.9087153625624647,	mae: 1.9724997812500005
ALMZX.csv	mse 1.0248694187513738,	r2 0.08740745931231375,	mae: 0.854375249999999
ALNFX.csv	mse 3.342012764376499,	r2 0.7127327106748348,	mae: 1.4649998749999997
ALOYX.csv	mse 0.22328333333333353,	r2 -0.3721748036872665,	mae: 0.3316666666666679
ALSCX.csv	mse 0.3258062500000003,	r2 0.9419422829107745,	mae: 0.4481250000000002
ALVAX.csv	mse 1.6200435362508754,	r2 0.6528533236304337,	mae: 1.0550000000000002
ALVGX.csv	mse 0.16032666666666684,	r2 -1.0213093810585798,	mae: 0.35400000000000076
AMBFX.csv	mse 0.8916650643762181,	r2 0.6961056116672132,	mae: 0.8103124062499989
AMCGX.csv	mse 1.8762529556254361,	r2 0.9087975937647753,	mae: 0.7240622499999998
AMCZX.csv	mse 0.5407399999999988,	r2 0.3349671981800594,	mae: 0.5960000000000004
ANDRX.csv	mse 0.4069476190476191,	r2 0.23285830799902874,	mae: 0.5547619047619049
ANOCX.csv	mse 1.2378371425003118,	r2 0.9161189705214215,	mae: 0.8662498124999995
ANTMX.csv	mse 0.31731999999999944,	r2 0.11911589572188908,	mae: 0.45799999999999963
APHTX.csv	mse 0.4687745475006252,	r2 0.0965017483382149,	mae: 0.5824998749999999
AQIIX.csv	mse 0.9413000000000012,	r2 -2.8416488113457845,	mae: 0.9700000000000006
ARDSX.csv	mse 0.2415312500000001,	r2 0.8817272899903599,	mae: 0.41562500000000013
AREMX.csv	mse 0.4455933700002667,	r2 0.8521557530183337,	mae: 0.5793334000000001
ARGFX.csv	mse 21.463323126880965,	r2 0.7203854682487716,	mae: 3.85875040625
ARSLX.csv	mse 0.8698731360004666,	r2 0.12493750562452577,	mae: 0.8593332666666669
ARSPX.csv	mse 8.986236669378508,	r2 0.9206312617850301,	mae: 2.1087503125000002
